tanggal,curah_hujan
"01-01-2017,""4,5"""
"02-01-2017,""15,6"""
"03-01-2017,""4,5"""
04-01-2017,1
"05-01-2017,""1,2"""
"06-01-2017,""1,1"""
"07-01-2017,""4,5"""
"08-01-2017,""4,5"""
"09-01-2017,""4,5"""
"10-01-2017,""4,5"""
"11-01-2017,""4,5"""
"12-01-2017,""0,1"""
"13-01-2017,""4,5"""
"14-01-2017,""4,5"""
"15-01-2017,""4,5"""
"16-01-2017,""0,6"""
"17-01-2017,""4,5"""
"18-01-2017,""3,1"""
"19-01-2017,""1,5"""
"20-01-2017,""4,5"""
"21-01-2017,""0,1"""
"22-01-2017,""0,3"""
"23-01-2017,""0,3"""
"24-01-2017,""8,5"""
"25-01-2017,""4,5"""
"26-01-2017,""11,9"""
27-01-2017,21
"28-01-2017,""40,3"""
29-01-2017,1
"30-01-2017,""0,1"""
"31-01-2017,""20,8"""
"01-02-2017,""9,6"""
"02-02-2017,""14,4"""
"03-02-2017,""11,9"""
04-02-2017,2
"05-02-2017,""4,5"""
"06-02-2017,""4,5"""
"07-02-2017,""4,5"""
"08-02-2017,""4,5"""
"09-02-2017,""4,5"""
"10-02-2017,""4,5"""
"11-02-2017,""1,7"""
"12-02-2017,""4,5"""
"13-02-2017,""54,9"""
"14-02-2017,""0,3"""
"15-02-2017,""7,2"""
"16-02-2017,""4,5"""
"17-02-2017,""4,5"""
"18-02-2017,""8,8"""
"19-02-2017,""57,1"""
"20-02-2017,""4,5"""
"21-02-2017,""4,5"""
"22-02-2017,""4,5"""
"23-02-2017,""4,5"""
"24-02-2017,""107,2"""
"25-02-2017,""19,7"""
"26-02-2017,""19,7"""
"27-02-2017,""51,5"""
"28-02-2017,""0,4"""
"01-03-2017,""6,2"""
"02-03-2017,""11,4"""
"03-03-2017,""0,6"""
"04-03-2017,""18,6"""
"05-03-2017,""1,9"""
"06-03-2017,""5,1"""
"07-03-2017,""4,5"""
"08-03-2017,""12,9"""
"09-03-2017,""12,4"""
"10-03-2017,""12,5"""
"11-03-2017,""16,6"""
"12-03-2017,""30,8"""
"13-03-2017,""2,3"""
"14-03-2017,""4,5"""
"15-03-2017,""16,5"""
"16-03-2017,""4,5"""
"17-03-2017,""4,5"""
"18-03-2017,""6,8"""
"19-03-2017,""4,5"""
"20-03-2017,""4,5"""
"21-03-2017,""83,3"""
"22-03-2017,""4,5"""
"23-03-2017,""20,4"""
"24-03-2017,""0,4"""
"25-03-2017,""4,5"""
"26-03-2017,""8,4"""
"27-03-2017,""21,4"""
"28-03-2017,""4,5"""
29-03-2017,1
"30-03-2017,""4,5"""
"31-03-2017,""4,5"""
