Tanggal,curah_hujan
01-01-2011,0.2
02-01-2011,10.1
03-01-2011,0.0
04-01-2011,10.6
05-01-2011,0.0
06-01-2011,0.0
07-01-2011,3.5
08-01-2011,3.0
09-01-2011,0.0
10-01-2011,17.0
11-01-2011,4.8
12-01-2011,23.5
13-01-2011,1.0
14-01-2011,1.2
15-01-2011,2.0
16-01-2011,5.4
17-01-2011,0.0
18-01-2011,0.0
19-01-2011,1.5
20-01-2011,0.9
21-01-2011,15.0
22-01-2011,0.0
23-01-2011,26.8
24-01-2011,2.3
25-01-2011,10.4
26-01-2011,4.0
27-01-2011,1.5
28-01-2011,2.0
29-01-2011,0.0
30-01-2011,0.0
31-01-2011,0.0
01-02-2011,0.0
02-02-2011,0.0
03-02-2011,17.9
04-02-2011,3.0
05-02-2011,9.4
06-02-2011,0.2
07-02-2011,4.4
08-02-2011,0.0
09-02-2011,13.7
10-02-2011,0.0
11-02-2011,0.0
12-02-2011,0.0
13-02-2011,0.0
14-02-2011,3.7
15-02-2011,0.0
16-02-2011,0.6
17-02-2011,5.3
18-02-2011,0.0
19-02-2011,3.2
20-02-2011,1.5
21-02-2011,3.2
22-02-2011,0.2
23-02-2011,0.0
24-02-2011,0.0
25-02-2011,9.2
26-02-2011,0.0
27-02-2011,2.4
28-02-2011,7.5
01-03-2011,29.8
02-03-2011,0.5
03-03-2011,0.3
04-03-2011,0.0
05-03-2011,3.4
06-03-2011,1.8
07-03-2011,36.9
08-03-2011,18.3
09-03-2011,1.2
10-03-2011,0.0
11-03-2011,8.8
12-03-2011,0.5
13-03-2011,0.0
14-03-2011,21.1
15-03-2011,0.0
16-03-2011,0.0
17-03-2011,0.0
18-03-2011,2.0
19-03-2011,35.3
20-03-2011,5.0
21-03-2011,0.0
22-03-2011,18.3
23-03-2011,0.8
24-03-2011,29.5
25-03-2011,2.1
26-03-2011,2.9
27-03-2011,0.0
28-03-2011,0.0
29-03-2011,0.0
30-03-2011,0.0
31-03-2011,35.0
01-04-2011,4.3
02-04-2011,0.8
03-04-2011,19.6
04-04-2011,5.0
05-04-2011,1.3
06-04-2011,10.5
07-04-2011,38.5
08-04-2011,0.3
09-04-2011,13.8
10-04-2011,7.8
11-04-2011,13.6
12-04-2011,1.8
13-04-2011,14.2
14-04-2011,1.5
15-04-2011,0.9
16-04-2011,0.5
17-04-2011,17.0
18-04-2011,7.5
19-04-2011,4.7
20-04-2011,1.0
21-04-2011,45.8
22-04-2011,0.0
23-04-2011,9.2
24-04-2011,3.2
25-04-2011,22.4
26-04-2011,0.3
27-04-2011,1.5
28-04-2011,8.0
29-04-2011,0.0
30-04-2011,0.0
01-05-2011,8.6
02-05-2011,8.6
03-05-2011,16.6
04-05-2011,12.8
05-05-2011,1.5
06-05-2011,0.0
07-05-2011,0.0
08-05-2011,0.0
09-05-2011,28.0
10-05-2011,24.5
11-05-2011,0.0
12-05-2011,0.0
13-05-2011,0.0
14-05-2011,0.0
15-05-2011,0.0
16-05-2011,1.0
17-05-2011,1.5
18-05-2011,0.0
19-05-2011,0.0
20-05-2011,11.0
21-05-2011,0.0
22-05-2011,0.9
23-05-2011,1.3
24-05-2011,0.0
25-05-2011,35.9
26-05-2011,0.0
27-05-2011,0.0
28-05-2011,1.9
29-05-2011,0.0
30-05-2011,0.0
31-05-2011,21.1
01-06-2011,43.7
02-06-2011,0.0
03-06-2011,1.8
04-06-2011,15.2
05-06-2011,0.0
06-06-2011,22.6
07-06-2011,1.2
08-06-2011,1.2
09-06-2011,1.4
10-06-2011,0.0
11-06-2011,0.0
12-06-2011,41.6
13-06-2011,0.2
14-06-2011,0.0
15-06-2011,5.5
16-06-2011,33.7
17-06-2011,11.0
18-06-2011,18.9
19-06-2011,9.1
20-06-2011,0.0
21-06-2011,0.0
22-06-2011,0.0
23-06-2011,0.0
24-06-2011,0.0
25-06-2011,0.0
26-06-2011,0.0
27-06-2011,0.0
28-06-2011,0.5
29-06-2011,7.4
30-06-2011,14.8
01-07-2011,0.4
02-07-2011,0.0
03-07-2011,0.0
04-07-2011,0.9
05-07-2011,0.0
06-07-2011,0.0
07-07-2011,0.0
08-07-2011,0.0
09-07-2011,0.0
10-07-2011,0.0
11-07-2011,0.0
12-07-2011,0.0
13-07-2011,0.0
14-07-2011,0.0
15-07-2011,0.1
16-07-2011,0.0
17-07-2011,0.1
18-07-2011,0.1
19-07-2011,0.1
20-07-2011,0.1
21-07-2011,0.1
22-07-2011,0.0
23-07-2011,0.0
24-07-2011,0.0
25-07-2011,0.0
26-07-2011,0.0
27-07-2011,0.0
28-07-2011,0.0
29-07-2011,0.0
30-07-2011,0.1
31-07-2011,0.6
01-08-2011,0.0
02-08-2011,0.0
03-08-2011,0.0
04-08-2011,0.0
05-08-2011,0.0
06-08-2011,0.0
07-08-2011,0.0
08-08-2011,0.0
09-08-2011,0.0
10-08-2011,0.0
11-08-2011,0.0
12-08-2011,0.0
13-08-2011,0.0
14-08-2011,0.0
15-08-2011,0.0
16-08-2011,0.0
17-08-2011,0.0
18-08-2011,0.0
19-08-2011,0.0
20-08-2011,0.0
21-08-2011,0.0
22-08-2011,0.0
23-08-2011,0.0
24-08-2011,0.0
25-08-2011,0.0
26-08-2011,0.0
27-08-2011,0.0
28-08-2011,0.0
29-08-2011,0.0
30-08-2011,0.0
31-08-2011,0.0
01-09-2011,8.9
02-09-2011,0.0
03-09-2011,0.0
04-09-2011,28.5
05-09-2011,9.3
06-09-2011,0.0
07-09-2011,0.0
08-09-2011,20.1
09-09-2011,4.3
10-09-2011,0.0
11-09-2011,14.3
12-09-2011,0.0
13-09-2011,0.0
14-09-2011,6.6
15-09-2011,10.2
16-09-2011,14.1
17-09-2011,7.3
18-09-2011,15.6
